,state,policy,before_7,after_7,before_15,after_15,diff_7,diff_15
128,NY,stay at home order,0.47663119263315723,0.1904881767431419,0.43214529935361234,0.14089563502664415,-0.28614301589001534,-0.2912496643269682
129,NY,face mask mandatory,0.039245295933908464,0.026818667860496692,0.06358887034604899,0.020014497486033678,-0.012426628073411772,-0.04357437286001531
130,NY,restaurant close,0.21443460953402327,0.4686990855486808,0.5106664960235658,0.2974303146022883,0.2542644760146575,-0.21323618142127754
131,NY,business close,0.47663119263315723,0.1904881767431419,0.43214529935361234,0.14089563502664415,-0.28614301589001534,-0.2912496643269682
132,NC,stay at home order,0.20846110603105195,0.1067095298247085,0.2896341500107882,0.08139563418637907,-0.10175157620634345,-0.2082385158244091
133,NC,face mask mandatory,0.023943589351019368,0.02146680045382321,0.026931496098233865,0.02344458607190658,-0.0024767888971961582,-0.0034869100263272834
134,NC,restaurant close,0.36561306856251186,0.30818552746755,0.3167180204218132,0.22725035464275822,-0.05742754109496184,-0.08946766577905496
135,NC,business close,0.20846110603105195,0.1067095298247085,0.2896341500107882,0.08139563418637907,-0.10175157620634345,-0.2082385158244091
136,ND,stay at home order,0.19135036661925864,0.09445227588682381,0.3671886149118455,0.07348213507476697,-0.09689809073243483,-0.29370647983707854
137,ND,face mask mandatory,0.008419521656331197,0.012762039556988736,0.009243096364341286,0.015167240334715615,0.004342517900657539,0.005924143970374329
138,ND,restaurant close,0.5927185921716722,0.188881436816283,0.24260059299451164,0.14266998818096432,-0.4038371553553892,-0.09993060481354732
139,ND,business close,0.5927185921716722,0.188881436816283,0.24260059299451164,0.14266998818096432,-0.4038371553553892,-0.09993060481354732
140,OH,stay at home order,0.35572636850225536,0.2016540911774667,0.4177854767217697,0.14705023085472124,-0.15407227732478868,-0.27073524586704845
141,OH,face mask mandatory,0.01835275453910823,0.015691605409693832,0.01931702179161565,0.013506618538952742,-0.0026611491294143974,-0.00581040325266291
142,OH,restaurant close,0.4317547693580883,0.3652351661124822,0.18232996897910025,0.28691643831050206,-0.06651960324560613,0.10458646933140181
143,OH,business close,0.35572636850225536,0.2016540911774667,0.4177854767217697,0.14705023085472124,-0.15407227732478868,-0.27073524586704845
144,OK,stay at home order,0.2783516121492511,0.18203953913095128,0.36464720807318396,0.14428924196898407,-0.0963120730182998,-0.2203579661041999
145,OK,face mask mandatory,0.03025197253236711,0.041855965644720605,0.032935449596001254,0.030651545281459525,0.011603993112353495,-0.0022839043145417293
146,OK,restaurant close,0.18203953913095128,0.09732727263543262,0.2740848530351423,0.07116211288799534,-0.08471226649551866,-0.20292274014714695
147,OK,business close,0.18203953913095128,0.09732727263543262,0.2740848530351423,0.07116211288799534,-0.08471226649551866,-0.20292274014714695
148,OR,stay at home order,0.2217737416536183,0.18604290713826344,0.19031074889841348,0.12597392844006916,-0.03573083451535486,-0.06433682045834432
149,OR,face mask mandatory,0.02635854772096269,0.02685024909171463,0.025764137464885595,0.02671354217291122,0.0004917013707519402,0.0009494047080256252
150,OR,restaurant close,0.23303267484803358,0.1982453921970555,0.22758848719364244,0.1734409834583095,-0.03478728265097808,-0.05414750373533295
151,OR,business close,0.2217737416536183,0.18604290713826344,0.19031074889841348,0.12597392844006916,-0.03573083451535486,-0.06433682045834432
152,PA,stay at home order,0.2636938587211368,0.14613462857373882,0.31452464490179843,0.10033564463887146,-0.117559230147398,-0.21418900026292698
153,PA,face mask mandatory,0.007183164908012962,0.008068482992749981,0.00658346484320016,0.00815677145065008,0.000885318084737019,0.0015733066074499202
154,PA,restaurant close,0.34590019263235616,0.357177902315551,0.29444245710919237,0.3026143633177376,0.011277709683194859,0.008171906208545243
155,PA,business close,0.34694272045693286,0.3518079716927607,0.3523095515144128,0.2727185076337728,0.004865251235827817,-0.07959104388063998
156,RI,stay at home order,0.2018112934502867,0.17736722381567227,0.29408218871813485,0.16686077190585014,-0.02444406963461443,-0.12722141681228472
157,RI,face mask mandatory,0.09700492387630155,0.06760094117620041,0.1307455752065505,0.04905363438050614,-0.02940398270010114,-0.08169194082604436
158,RI,restaurant close,0.243597070273333,0.21901365420447538,0.17682853231635498,0.22360772871139933,-0.02458341606885761,0.04677919639504435
159,RI,business close,0.2404397192344212,0.1536225155321136,0.23180250019729565,0.13616974680435168,-0.08681720370230761,-0.09563275339294397
160,SC,stay at home order,0.12151964386225989,0.052697630252157124,0.1497516083196866,0.04469127888270896,-0.06882201361010276,-0.10506032943697763
161,SC,face mask mandatory,0.04090615289630861,0.03289587388254134,0.06292365254163568,0.029370753295760554,-0.008010279013767274,-0.03355289924587512
162,SC,restaurant close,0.2917083420907467,0.28000422571143524,0.25451179898736354,0.22498544017928346,-0.011704116379311458,-0.029526358808080078
163,SC,business close,0.17267075760675588,0.08730668222518578,0.24728790539124668,0.0665711280040906,-0.08536407538157009,-0.18071677738715608
164,SD,stay at home order,0.1678564412377328,0.16836520069213412,0.1763398145748174,0.11292292032002993,0.0005087594544013196,-0.06341689425478747
165,SD,face mask mandatory,0.1374439519007653,0.044124967282095806,0.1510199501621985,0.03318447388349943,-0.0933189846186695,-0.11783547627869906
166,SD,restaurant close,0.04654408710189917,0.1852344237624306,0.05396982852783805,0.18863241974349676,0.13869033666053143,0.1346625912156587
167,SD,business close,0.1779181724076735,0.15300698912908683,0.17836491083969896,0.15381506375287501,-0.024911183278586657,-0.02454984708682395
168,TN,stay at home order,0.16841133593644253,0.07770943036723899,0.25176771526446906,0.05856239057335877,-0.09070190556920354,-0.1932053246911103
169,TN,face mask mandatory,0.048243455599507934,0.05211026659951701,0.05856239057335877,0.04718617182132223,0.003866811000009074,-0.011376218752036538
170,TN,restaurant close,0.4232047875793894,0.1888651829799899,0.5343520139862352,0.13336723988989996,-0.2343396045993995,-0.40098477409633526
171,TN,business close,0.16180471998218593,0.07221299584128515,0.2564012039220369,0.054762698439735136,-0.08959172414090077,-0.20163850548230178
172,TX,stay at home order,0.18824362693408148,0.1184738562654235,0.3082067493700389,0.08555434742060664,-0.06976977066865797,-0.22265240194943225
173,TX,face mask mandatory,0.041980664678390456,0.038865711122803015,0.04141531134311793,0.035793463238771084,-0.003114953555587441,-0.005621848104346849
174,TX,restaurant close,0.42258122275435817,0.2597011623870298,0.36061690848305994,0.1943335953881078,-0.16288006036732838,-0.16628331309495215
175,TX,business close,0.24235097601766276,0.12913340270661133,0.30981337737605674,0.09893224297593561,-0.11321757331105142,-0.21088113440012113
